说	0
的	1
技师	2
车主	3
了	4
是	5
有	6
我	7
这个	8
就	9
问题	10
不	11
你	12
可以	13
吗	14
没有	15
在	16
好	17
也	18
都	19
你好	20
需要	21
故障	22
一下	23
检查	24
发动机	25
什么	26
换	27
就是	28
更换	29
会	30
车	31
正常	32
和	33
如果	34
情况	35
用	36
没	37
机油	38
那	39
还是	40
去	41
谢谢	42
您	43
看	44
要	45
吧	46
对	47
到	48
把	49
一个	50
的话	51
电脑	52
这种	53
现在	54
时候	55
建议	56
不会	57
传感器	58
可能	59
声音	60
变速箱	61
这	62
应该	63
清洗	64
过	65
下	66
后	67
怎么	68
有没有	69
还有	70
啊	71
出现	72
检查一下	73
上	74
能	75
嗯	76
是否	77
是不是	78
或者	79
节气门	80
呢	81
启动	82
多少	83
影响	84
一般	85
不是	86
大	87
码	88
车子	89
还	90
看看	91
那个	92
跑	93
油	94
这样	95
给	96
公里	97
左右	98
很	99
做	100
车辆	101
然后	102
火花塞	103
师傅	104
请问	105
再	106
位置	107
开	108
原因	109
哦	110
时	111
但是	112
维修	113
保养	114
一样	115
比较	116
感觉	117
行驶	118
知道	119
年	120
线路	121
才	122
里面	123
导致	124
先	125
轮胎	126
您好	127
4s店	128
又	129
不好	130
压力	131
开关	132
客气	133
怠速	134
他	135
坏	136
电瓶	137
拆	138
刹车	139
空调	140
多	141
修理厂	142
使用	143
不能	144
点火	145
根据	146
大师	147
款	148
造成	149
汽油	150
抖动	151
钥匙	152
地方	153
新	154
检测	155
钱	156
系统	157
着	158
灯	159
个	160
进行	161
两个	162
显示	163
不行	164
万公里	165
熄火	166
以后	167
大概	168
高	169
插头	170
加	171
直接	172
出来	173
上面	174
工作	175
解决	176
买	177
档	178
控制	179
匹配	180
这是	181
找	182
打开	183
线	184
喷油嘴	185
缸	186
一点	187
自己	188
现象	189
跟	190
想	191
试试	192
因为	193
关系	194
其他	195
哪里	196
等	197
得	198
一直	199
处理	200
汽车	201
加油	202
肯定	203
让	204
水温	205
起来	206
离合器	207
主要	208
之前	209
转	210
踩	211
从	212
一次	213
不用	214
异响	215
有点	216
挂	217
皮带	218
方向盘	219
仪表	220
具体	221
螺丝	222
来	223
损坏	224
气门	225
么	226
响	227
时间	228
自动	229
之后	230
怎么回事	231
不了	232
问	233
他们	234
东西	235
只有	236
油耗	237
所以	238
没事	239
最好	240
模块	241
亮	242
价格	243
积碳	244
打	245
原厂	246
只能	247
4S店	248
转速	249
油门	250
安装	251
重新	252
确定	253
方向	254
空气	255
数据	256
今天	257
点	258
防冻液	259
只要	260
小	261
描述	262
进气	263
信号	264
咨询	265
中	266
但	267
高速	268
它	269
为	270
保险	271
已经	272
拆下来	273
我们	274
水箱	275
发现	276
后面	277
线圈	278
底盘	279
一	280
动力	281
以前	282
修	283
下面	284
新车	285
出	286
门	287
解答	288
店	289
冷车	290
那么	291
凸轮轴	292
测量	293
刹车片	294
按	295
定位	296
前	297
呀	298
不要	299
磨损	300
油泵	301
温度	302
泵	303
电机	304
滤芯	305
轴承	306
继电器	307
哪个	308
明显	309
保险丝	310
这款	311
外面	312
电磁阀	313
离合	314
或	315
意思	316
明天	317
正	318
三元催化	319
只是	320
曲轴	321
读取	322
氧	323
不到	324
助力	325
风扇	326
正时	327
这些	328
燃油	329
电压	330
内部	331
容易	332
而且	333
大灯	334
车身	335
严重	336
好像	337
质量	338
漏气	339
走	340
关注	341
导航	342
4s	343
烧	344
10	345
间隙	346
配件	347
与	348
漏油	349
引起	350
像	351
里	352
电	353
加速	354
转向	355
玻璃	356
哒	357
太	358
反应	359
麻烦	360
车门	361
特别	362
才能	363
哪	364
低	365
月	366
首先	367
电子	368
听	369
内	370
热车	371
马达	372
分析	373
完	374
原车	375
合成	376
一定	377
办法	378
起步	379
手动	380
挡	381
别的	382
为什么	383
费用	384
修复	385
帮	386
本身	387
请	388
发电机	389
总成	390
号	391
被	392
装	393
很多	394
有时候	395
车型	396
随时	397
必要	398
前面	399
发出	400
查	401
调	402
重点	403
四轮	404
存在	405
加装	406
说明	407
喷漆	408
突然	409
变速器	410
开始	411
比	412
刚	413
12	414
防盗	415
希望	416
报	417
链条	418
排气管	419
看到	420
属于	421
数据流	422
无法	423
调整	424
最近	425
专用	426
压	427
必须	428
功能	429
档位	430
回答	431
连接	432
…	433
另外	434
灯亮	435
型号	436
减震器	437
变形	438
下来	439
压缩机	440
考虑	441
通过	442
元	443
温器	444
这么	445
啥	446
一会	447
一些	448
全	449
响声	450
